Name;Analys
"СНТ ""Север"", квартал ,3";
"СНТ ""Север"", квартал 4";
"СНТ ""Север"", квартал 6";
"СНТ ""Север"", квартал 5";
"СНТ ""Север"", квартал 12";
"СНО ""Мичуренец-7"", квартал 2";
"СНО ""Мичуренец-7"", квартал 1";
"СНТ ""Север"", квартал 8";
"СНО ""Мичуренец-7"", квартал 5";
"СНО ""Мичуренец-7"", квартал 4";
"СНТ ""Север"", квартал 7";
"СНО ""Гидростроитель"", улица 5";"сно ""гидростроитель"",  
"
"СНО ""Гидростроитель"", улица 4";"сно ""гидростроитель"",  
"
"СНТ ""Строитель""";
"СНО ""Мичуренец-7"", квартал 6";
5-я Продольная улица;" продольный 
"
"СНО ""Мичуренец-7"", квартал 7";
"СНО ""Мичуренец-7"", квартал 8";
"СНО ""Мичуренец-7"", квартал 9";
"СНО ""Мичуренец-7"", квартал 10";
"СНО ""Мичуренец-7"", квартал 14";
"СНО ""Мичуренец-7"", квартал 13";
"СНО ""Мичуренец-7"", квартал 20";
"СНО ""Мичуренец-7"", квартал 15";
"СНО ""Мичуренец-7"", квартал 16";
"СНО ""Мичуренец-7"", квартал 19";
"СНО ""Мичуренец-7"", квартал 12";
"СНО ""Мичуренец-7"", квартал 17";
"СНО ""Мичуренец-7"", квартал 18";
"СНО ""Мичуренец-7"", квартал 11";
Асфальтовая улица;"асфальтовый 
"
10-я Северная улица;"северный 
"
5-я Северная улица;" северный 
"
8-я Северная улица;" северный 
"
Седьмая улица;"седьмой 
"
Шестая улица;"шестой 
"
19-я Продольная улица;"продольный 
"
18-я Продольная улица;" продольный 
"
17-я Продольная улица;" продольный 
"
16-я Продольная улица;" продольный 
"
15-я Продольная улица;" продольный 
"
14-я Продольная улица;" продольный 
"
13-я Продольная улица;"продольный 
"
12-я Продольная улица;"продольный 
"
11-я Продольная улица;"продольный 
"
10-я Продольная улица;"продольный 
"
9-я Продольная улица;"продольный 
"
8-я Продольная улица;" продольный 
"
7-я Продольная улица;" продольный 
"
20-я Продольная улица;"продольный 
"
6-я Продольная улица;" продольный 
"
улица им. Твардовского; твардовский
"СТ ""Трампарк""";
СНТ Дубовая балка;
2-я Западная улица;"западный 
"
1-я Западная улица;"западный 
"
12-я Западная улица;"западный 
"
"СТ ""Волжанин""";
"СНТ ""Волжанин""";
улица им. Неждановой; нежданова
снт Победа;
Сосновый переулок;"сосновый 
"
Родниковый переулок;"родниковый 
"
переулок Вязов;вяз
улица Вязов; вяз
улица Роз; роза
переулок Роз;роза
Продольный переулок;"продольный 
"
Иверский переулок;"иверский 
"
Уваровская улица;"уваровский 
"
Фабричная улица;"фабричный 
"
СНТ  Дубок;
Сторожевой переулок;"сторожевой 
"
Сельская улица;"сельский 
"
Хвойный переулок;"хвойный 
"
улица Воинов-Интернационалистов; воиновинтернационалист
Западновская улица;"западновский 
"
Гидротехническая улица;"гидротехнический 
"
Восточный переулок;"восточный 
"
переулок Максима Горького;максим горький
Химический переулок;"химический 
"
Красного Октября улица;"красный октябрь 
"
Красного Октября переулок;"красный октябрь 
"
улица Аляева; аляев
Кооперативный переулок;"кооперативный 
"
Осенний переулок;"осенний 
"
Революционный переулок;"революционный 
"
Проезжий переулок;"проезжий 
"
Краснознаменский переулок;"краснознаменский 
"
Пляжная улица;"пляжный 
"
1-я Дорожная улица;"дорожный 
"
2-я Проезжая улица;"проезжать 
"
2-я улица Снайпера Пассара; снайпер пассар
3-А улица;
23-й улица Стрелковой Дивизии; стрелковый дивизия
СНТ Восход 2-я улица;"снт восход 
"
СНТ Восход 1-я улица;"снт восход 
"
СНТ Восход 3-я улица;"снт восход 
"
СНТ Восход 5-я улица;"снт восход  
"
СНТ Восход 4-я улица;"снт восход  
"
СНТ Восход 25-я улица;"снт восход  
"
СНТ Восход 26-я улица;"снт восход  
"
СНТ Восход 24-я улица;"снт восход  
"
СНТ Восход 23-я улица;"снт восход 
"
СНТ Восход 22-я улица;"снт восход 
"
СНТ Восход 20-я улица;"снт восход 
"
Горный переулок;"горный 
"
переулок Восток;восток
Красный переулок;"красный 
"
8 Марта улица;" март 
"
Радужный переулок;"радужный 
"
Пихтовая улица;"пихтовый 
"
улица Димитрова; димитров
переулок Димитрова;димитров
11-й переулок;
Нулевая улица;"нулевой 
"
Закузнецкий переулок;"закузнецкий 
"
Ивушкина улица;"ивушкин 
"
улица Нечаевой; нечаева
улица Кобзева; кобзев
переулок Запарина;запарина
переулок Лизы Чайкиной;лиза чайкина
улица Серёгина; серегин
Ольховая улица;"ольховый 
"
Крапивная улица;"крапивный 
"
Фундуковая улица;"фундуковый 
"
Дивная улица;"дивный 
"
Бирюзовая улица;"бирюзовый 
"
улица им.Харламова; харламова
Аводорога 6;
пересечение 3-ей Продольной магистрали и а/д на Орловский песчаный карьер;
вдоль 3-й продольной магистрали, справа по ходу движения из г. Сызрань;
Титановый переулок;"титановый 
"
Нефритовая улица;"нефритовый 
"
Берилловая улица;"берилловый 
"
Титановая улица;"титановый 
"
21-я Песчаная улица;"песчаный 
"
9-я Песчаная улица;"песчаный 
"
Экскаваторная улица;"экскаваторный 
"
1-й Зелёный переулок;"зеленый 
"
улица имени Гвардии Майора Маресьева; гвардия майор маресьев
Базовский переулок;"базовский 
"
Круговая улица;"круговой 
"
Садовый Переулок;"садовый 
"
Выгонный переулок;"выгонный 
"
Центральная;
Переулок Авиаторов;авиатор
Вилянская;
улица Космодемьянская; космодемьянский
улица Ушакова; ушаков
улица Пугачёва; пугачев
Первомайская;
;
